Year,Rate
1963,24.6
1963,19.3
1963,17.399
1963,36.999
1963,43.37
1963,53.236
1963,43.959
1963,42.86
1963,43.689
1963,47.922
1963,47.869
1963,43.388
1963,34.723
1963,
1963,24.768
1963,
1963,
1963,51.195
1963,
1963,17.6
1963,49.431
1963,50.224
1963,
1963,
1963,
1963,
1963,43.974
1963,44.182
1963,
1963,48.492
1963,21.3
1963,
1963,47.98
1963,
1963,18.2
1963,41.533
1963,18.2
1963,
1963,42.707
1963,31.29
1963,18.5
1963,22.824
1963,47.497
1963,
1963,49.2
1963,48.332
1963,39.687
1963,40.408
1963,17.5
1963,39.42
1963,
1963,45.759
1963,35.421
1963,41.431
1963,
1963,33.5
1963,49.456
1963,
1963,
1963,43.193
1963,13.1
1963,43.979
1963,
1963,22.2
1963,45.362
1963,43.082
1963,26.0
1963,25.0
1963,18.8
1963,
1963,52.416
1963,17.4
1963,
1963,50.931
1963,
1963,44.937
1963,
1963,
1963,
1963,
1963,45.574
1963,
1963,42.622
1963,37.571
1963,53.641
1963,49.104
1963,
1963,
1963,
1963,
1963,
1963,
1963,
1963,
1963,42.328
1963,
1963,15.7
1963,
1963,29.57
1963,49.948
1963,
1963,23.72
1963,48.185
1963,40.642
1963,
1963,44.64
1963,
1963,
1963,28.827
1963,48.291
1963,20.3
1963,41.455
1963,
1963,13.065
1963,43.16
1963,
1963,48.544
1963,49.383
1963,40.4
1963,54.766
1963,42.737
1963,44.302
1963,
1963,42.225
1963,
1963,57.396
1963,47.268
1963,48.354
1963,20.9
1963,
1963,17.3
1963,44.414
1963,25.5
1963,
1963,
1963,50.377
1963,40.312
1963,40.342
1963,46.016
1963,43.328
1963,
1963,42.226
1963,19.2
1963,31.0
1963,34.297
1963,23.4
1963,41.142
1963,44.733
1963,40.526
1963,
1963,52.832
1963,
1963,48.789
1963,46.267
1963,49.529
1963,34.3
1963,43.617
1963,46.557
1963,47.231
1963,
1963,50.961
1963,
1963,
1963,
1963,50.81
1963,44.008
1963,
1963,18.1
1963,14.8
1963,47.977
1963,
1963,48.107
1963,
1963,45.439
1963,47.377
1963,42.717
1963,47.189
1963,43.502
1963,44.62
1963,36.638
1963,
1963,43.459
1963,
1963,49.11
1963,49.214
1963,
1963,
1963,21.7
1963,21.7
1963,
1963,45.955
1963,
1963,
1963,45.651
1963,46.967
1963,
1963,46.491
1963,54.645
1963,41.112
1963,48.734
1963,48.079
1964,30.994
1964,52.192
1964,54.04
1964,37.913
1964,26.849
1964,
1964,42.253
1964,22.931
1964,30.937
1964,
1964,
1964,20.5
1964,18.5
1964,38.5
1964,44.958
1964,17.2
1964,45.146
1964,47.442
1964,47.111
1964,16.1
1964,46.453
1964,36.339
1964,29.325
1964,
1964,41.377
1964,
1964,45.667
1964,40.606
1964,27.509
1964,41.024
1964,47.606
1964,46.458
1964,43.775
1964,23.4
1964,19.5
1964,17.381
1964,35.923
1964,39.14
1964,53.237
1964,44.134
1964,42.954
1964,43.246
1964,47.627
1964,46.748
1964,42.141
1964,34.8
1964,
1964,23.994
1964,
1964,
1964,51.112
1964,
1964,17.7
1964,48.5
1964,49.98
1964,
1964,
1964,
1964,
1964,43.776
1964,43.605
1964,
1964,48.314
1964,21.9
1964,
1964,47.972
1964,
1964,17.7
1964,40.366
1964,18.2
1964,
1964,42.523
1964,31.514
1964,18.8
1964,22.155
1964,47.603
1964,
1964,49.172
1964,48.547
1964,38.463
1964,40.546
1964,18.0
1964,37.002
1964,
1964,45.54
1964,34.86
1964,41.221
1964,
1964,30.7
1964,49.229
1964,
1964,
1964,42.733
1964,13.1
1964,43.61
1964,
1964,22.4
1964,45.268
1964,43.896
1964,25.2
1964,25.7
1964,19.7
1964,
1964,52.911
1964,17.8
1964,
1964,50.825
1964,
1964,44.834
1964,
1964,
1964,
1964,
1964,46.534
1964,
1964,42.58
1964,36.987
1964,53.002
1964,49.222
1964,
1964,
1964,
1964,
1964,
1964,
1964,
1964,
1964,42.364
1964,
1964,15.8
1964,
1964,28.026
1964,49.671
1964,
1964,22.638
1964,48.076
1964,40.346
1964,
1964,44.358
1964,
1964,
1964,28.084
1964,48.326
1964,19.8
1964,41.05
1964,
1964,12.658
1964,43.021
1964,
1964,48.423
1964,49.075
1964,38.9
1964,55.024
1964,41.881
1964,44.735
1964,
1964,42.192
1964,
1964,57.611
1964,47.165
1964,47.579
1964,20.7
1964,
1964,17.7
